time,altitude,velocity
186.000000,168.633697,2.909593
187.000000,169.996275,2.906799
188.000000,171.365826,2.903997
189.000000,172.742344,2.901189
190.000000,174.125824,2.898374
191.000000,175.516260,2.895551
192.000000,176.913647,2.892723
193.000000,178.317980,2.889887
194.000000,179.729253,2.887045
195.000000,181.147461,2.884197
196.000000,182.572598,2.881342
197.000000,184.004659,2.878481
198.000000,185.443639,2.875614
199.000000,186.889532,2.872741
200.000000,188.342333,2.869862
201.000000,189.802035,2.866976
202.000000,191.268634,2.864085
203.000000,192.742123,2.861189
204.000000,194.222498,2.858286
205.000000,195.709752,2.855379
206.000000,197.203880,2.852465
207.000000,198.704876,2.849546
208.000000,200.212735,2.846622
209.000000,201.727450,2.843693
210.000000,203.249016,2.840759
211.000000,204.777426,2.837819
212.000000,206.312677,2.834874
213.000000,207.854760,2.831925
214.000000,209.403671,2.828971
215.000000,210.959403,2.826012
216.000000,212.521952,2.823048
217.000000,214.091310,2.820080
218.000000,215.667471,2.817107
219.000000,217.250431,2.814130
220.000000,218.840182,2.811149
221.000000,220.436718,2.808163
222.000000,222.040035,2.805173
223.000000,223.650125,2.802179
224.000000,225.266982,2.799181
225.000000,226.890601,2.796179
226.000000,228.520974,2.793173
227.000000,230.158097,2.790163
228.000000,231.801962,2.787149
229.000000,233.452564,2.784132
230.000000,235.109896,2.781112
231.000000,236.773952,2.778087
232.000000,238.444726,2.775060
233.000000,240.122211,2.772029
234.000000,241.806401,2.768995
235.000000,243.497289,2.765957
236.000000,245.194870,2.762917
237.000000,246.899136,2.759873
238.000000,248.610082,2.756826
239.000000,250.327700,2.753777
240.000000,252.051985,2.750724
241.000000,253.782930,2.747669
242.000000,255.520528,2.744611
243.000000,257.264773,2.741551
244.000000,259.015658,2.738488
245.000000,260.773176,2.735422
246.000000,262.537322,2.732354
247.000000,264.308088,2.729284
248.000000,266.085467,2.726211
249.000000,267.869454,2.723136
250.000000,269.660040,2.720059
251.000000,271.457220,2.716980
252.000000,273.260987,2.713898
253.000000,275.071333,2.710815
254.000000,276.888253,2.707730
255.000000,278.711739,2.704643
256.000000,280.541785,2.701554
257.000000,282.378383,2.698464
258.000000,284.221526,2.695372
259.000000,286.071209,2.692278
260.000000,287.927423,2.689183
261.000000,289.790162,2.686086
262.000000,291.659419,2.682988
263.000000,293.535186,2.679889
264.000000,295.417458,2.676788
265.000000,297.306226,2.673686
266.000000,299.201484,2.670583
267.000000,301.103225,2.667479
268.000000,303.011441,2.664374
269.000000,304.926125,2.661268
270.000000,306.847271,2.658161
271.000000,308.774870,2.655053
